June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,,,1865-1901 Presidents,,33775,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1901-09 Theodore Roosevelt,,33776,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1909-13 William H. Taft,,33777,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1913-21 Woodrow Wilson,,33778,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1921-23 Warren Harding,,33779,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1923-29 Calvin Coolidge,,33780,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1929-33 Herbert Hoover,,33781,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1933-45 Franklin D. Roosevelt,,33782,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1945-53 Harry S. Truman,,33783,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1953-61 Dwight D. Eisenhower,,33784,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1961-63 John F. Kennedy,,13900,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1963-69 Lyndon B. Johnson,,33785,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1969-74 Richard M. Nixon,,33786,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1974-77 Gerald R. Ford,,33787,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1977-81 Jimmy Carter,,33788,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1981-89 Ronald Reagan,,33789,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1989-93 George Bush,,33790,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,1993-2001 Bill Clinton,,33791,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,2001-2009 George W. Bush,,4103,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,2009-2017 Barack Obama,,165559,All listings are being moved into [Presidents & First Ladies - 13898].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Presidential Candidates,,,165560,,
,,,,,US House of Representatives,,,4102,,
,,,,,US Senate,,,4105,,
,,,,,City & County Elections,,,4104,Renamed from [City & County],
,,,,,State Elections,,,4106,Renamed from [State],
,,,,,Peace & Anti-War Movements,,,39722,,
,,,,,Reproduction & Fantasy Items,,,88899,,
,,,,,Other US Politics Collectibles,,,367,All listings are being moved into [Other US Politics Collectibles - 259256].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,-,Political Parties Memorabilia,,,259137,New Category,
,,,,,,Buttons & Pins,,259138,New Category,
,,,,,,Stickers,,259139,New Category,
,,,,,,T-Shirts & Apparel,,259140,New Category,
,,,,,,Other,,259141,New Category,
,,,,,Other US Politics Collectibles,,,259256,New Category,
,,,,Canada,,,,7192,,
,,,-,Rest of the World,,,,4108,Renamed from [International],
,,,,,Africa,,,259142,New Category,
,,,,,Australasia,,,259143,New Category,
,,,,,Europe,,,4114,,
,,,,,Russia,,,12517,,
,,,,,South America,,,259653,New Category,
,,,,,Other Countries,,,4107,,
,,-,Royalty Collectibles,,,,,39630,Renamed from [Royalty],
,,,,Non-British Royalty,,,,91353,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Victoria (1837-1901),,,,39635,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Edward VII (1902-1910),,,,60783,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,George V (1910-1936),,,,39631,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Edward VIII (1936),,,,69753,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,George VI (1936-1952),,,,40521,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Elizabeth II (1952-Now),,,,39634,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Prince Charles,,,,39632,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Prince William & Prince Harry,,,,23737,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Princess Diana,,,,39633,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Other British Royalty,,,,1414,All listings are being moved into [Royalty Collectibles - 39630].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,-,Teaching & Education,,,,,39725,,
,,,,Colleges & Universities,,,,39726,,
,,,,Elementary & High Schools,,,,39727,,
,,,,Military Academies,,,,165562,,
,,,,Teachers,,,,165563,,
,,,,Other Teaching & Education,,,,4036,,
,,,Veterinary Medicine,,,,,165564,,
,,,Other Historical Memorabilia,,,,,259144,New Category,
,+,Holiday & Seasonal,,,,,,907,,
,-,Kitchen & Home,,,,,,13905,,
,,,Electric Fans,,,,,4037,,
,,,Flue Covers,,,,,4043,,
,,+,Furniture,,,,,12513,,
,,,Irons,,,,,13919,,
,,+,Kitchenware,,,,,81,,
,,,Large Appliances,,,,,165567,,
,,,Magnets,,,,,476,,
,,+,Tableware,,,,,978,,
,,,Vintage Vacuums,,,,,115993,Moved from [Household Supplies & Cleaning-299],
,+,"Knives, Swords & Blades",,,,,,1401,,
,+,"Lamps, Lighting",,,,,,1404,,
,+,Linens & Textiles (1930-Now),,,,,,940,,
,+,Metalware,,,,,,1430,,
,+,Militaria,,,,,,13956,,
,-,Non-Sport Trading Cards,,,,,,182982,,
,,+,Batman Trading Cards,,,,,182983,,
,,+,Benchwarmer,,,,,182987,,
,,+,Doctor Who Trading Cards,,,,,182992,,
,,+,Game of Thrones Trading Cards,,,,,182996,,
,,+,Garbage Pail Kids,,,,,183001,,
,,+,Harry Potter Movie Cards,,,,,183006,,
,,+,James Bond Trading Cards,,,,,183010,,
,,+,Lord of the Rings Movie Cards,,,,,60225,,
,,+,Mars Attacks!,,,,,183014,,
,,+,Marvel Movie Trading Cards,,,,,183019,,
,,+,Spider-Man Trading Cards,,,,,183024,,
,,+,Star Trek Trading Cards,,,,,183028,,
,,+,Star Wars Trading Cards,,,,,100899,,
,,+,Wacky Packages,,,,,183036,,
,,+,Walking Dead Trading Cards,,,,,183041,,
,,+,X-Men Trading Cards,,,,,183046,,
,,,Trading Card Singles,,,,,183050,,
,,,Trading Card Lots,,,,,183051,,
,,,Complete Trading Card Sets,,,,,183052,,
,,,Sealed Trading Cards,,,,,183053,,
,,,Wrappers & Empty Card Boxes,,,,,183054,,
,,,Vintage Non-Sport Cards,,,,,156521,,
,,,"Sticker Albums, Packs & Spares",,,,,183490,,
,,-,Non-Sport Card Supplies & Accs,,,,,183056,,
,,,,Card Sleeves & Bags,,,,183057,The Category ID is being changed to [259148].,Please update your category ID accordingly.
,,,,Card Toploaders & Holders,,,,183058,The Category ID is being changed to [259149].,Please update your category ID accordingly.
,,,,Card Sleeves & Bags,,,,259148,New Category,
,,,,Card Toploaders & Holders,,,,259149,New Category,
,,,,Card Albums & Pages,,,,183059,,
,,,,Card Storage Boxes,,,,183060,The Category ID is being changed to [259150].,Please update your category ID accordingly.
,,,,Card Storage Boxes,,,,259150,New Category,
,,,Price Guides & Publications,,,,,171198,,
,,,Other Non-Sport Card Merch,,,,,219,,
,+,Paper,,,,,,124,,
,+,Pens & Writing Instruments,,,,,,966,,
,+,"Pez, Keychains, Promo Glasses",,,,,,14005,,
,,Phone Cards,,,,,,60811,,
,+,Photographic Images,,,,,,14277,,
,+,"Pinbacks, Bobbles, Lunchboxes",,,,,,39507,,
,+,Postcards,,,,,,914,,
,+,"Radio, Phonograph, TV, Phone",,,,,,29832,,
,+,Religion & Spirituality,,,,,,1446,,
,+,"Rocks, Fossils & Minerals",,,,,,3213,,
,-,Science Fiction & Horror,,,,,,152,,
,,,"Aliens, AVP",,,,,73548,,
,,,Babylon 5,,,,,785,,
,,,Battlestar Galactica,,,,,37880,,
,,,Buffy the Vampire Slayer,,,,,14905,,
,,,Doctor Who,,,,,1450,Renamed from [Dr. Who],
,,,Farscape,,,,,73549,,
,,,"Firefly, Serenity",,,,,157023,,
,,,Godzilla,,,,,591,,
,,,Lost,,,,,165728,,
,,,Lost in Space,,,,,73550,,
,,,Planet of the Apes,,,,,14015,,
,,,Predator,,,,,165729,,
,,,Resident Evil,,,,,165730,,
,,,Smallville,,,,,98026,,
,,,Space 1999,,,,,99965,,
,,-,Star Trek Collectibles,,,,,29493,Renamed from [Star Trek],
,,,,Original Series,,,,37881,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Next Generation,,,,37882,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Deep Space Nine,,,,37883,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Voyager,,,,37884,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Enterprise,,,,73551,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Movies,,,,37885,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Animated Adventures,,,,37886,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,-,Characters,,,,74713,This Category is being retired.,
,,,,,Captain Kirk,,,74714,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Klingons,,,74715,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Spock,,,74716,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Other Star Trek Characters,,,74717,All listings are being moved into [Other Star Trek Collectibles - 155].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Autographs,,,,8689,New Category,
,,,,Books,,,,8690,New Category,
,,,,Clothing & Accessories,,,,8697,New Category,
,,,,Collectible Action Figures,,,,750,New Category,
,,,,Collectible Magazines,,,,8692,New Category,
,,,,"Figurines, Statues & Busts",,,,259146,New Category,
,,,,Posters & Prints,,,,8694,New Category,
,,,,Vehicle & Space Ship Replicas,,,,259147,New Category,
,,,,Other Star Trek Collectibles,,,,155,,
,,-,Star Wars,,,,,29495,This Category is being retired.,
,,,,I:The Phantom Menace,,,,37890,All listings are being moved into [Other Star Wars Collectibles - 154].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,II:Attack of the Clones,,,,37891,All listings are being moved into [Other Star Wars Collectibles - 154].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,III:Revenge of the Sith,,,,98027,All listings are being moved into [Other Star Wars Collectibles - 154].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,IV:Star Wars,,,,37887,All listings are being moved into [Other Star Wars Collectibles - 154].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,V:Empire Strikes Back,,,,37888,All listings are being moved into [Other Star Wars Collectibles - 154].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,VI:Return of the Jedi,,,,37889,All listings are being moved into [Other Star Wars Collectibles - 154].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,VII:The Force Awakens,,,,182078,All listings are being moved into [Other Star Wars Collectibles - 154].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,-,"Products, Non-Film Specific",,,,99966,This Category is being retired.,
,,,,,"Apparel, T-Shirts",,,99967,All listings are being moved into [Clothing & Accessories - 99970].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Books,,,99968,The Category ID is being changed to [8677].,Please update your category ID accordingly.
,,,,,Pins,,,99972,All listings are being moved into [Jewelry - 99976].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,-,Star Wars Collectibles,,,,,8675,New Category,
,,,,Autographs,,,,8676,New Category,
,,,,Books,,,,8677,New Category,
,,,,Clothing & Accessories,,,,99970,"Moved from [Products, Non-Film Specific-99966] Renamed from [Costumes, Masks]",
,,,,Collectible Action Figures,,,,111997,New Category,
,,,,Collector Plates,,,,99969,"Moved from [Products, Non-Film Specific-99966]",
,,,-,"Figurines, Statues & Busts",,,,73552,"Moved from [Products, Non-Film Specific-99966] Renamed from [Statues, Busts, Characters]",
,,,,,Anakin Skywalker,,,98028,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,BB-8,,,182079,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Boba Fett,,,73553,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Chewbacca,,,98029,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Darth Maul,,,98030,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Darth Vader,,,73554,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Ewoks,,,98031,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Finn,,,182080,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Han Solo,,,98032,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Kylo Ren,,,182081,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Luke Skywalker,,,73555,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Maz Kanata,,,182082,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Obi-Wan,,,98033,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Poe Dameron,,,182083,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Princess Leia,,,73557,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,R2-D2,,,99974,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Rey,,,182084,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Stormtroopers,,,73556,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Yoda,,,73558,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Mixed Characters,,,98034,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Other Star Wars Characters,,,73559,"All listings are being moved into [Figurines, Statues & Busts - 73552].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Jewelry,,,,99976,"Moved from [Products, Non-Film Specific-99966] Renamed from [Watches, Jewelry]",
,,,,Lightsaber & Weapon Replicas,,,,99971,"Moved from [Products, Non-Film Specific-99966] Renamed from [Lightsabers, Weapons]",
,,,,Posters & Prints,,,,99973,"Moved from [Products, Non-Film Specific-99966] Renamed from [Posters, Prints]",
,,,,Vehicle & Space Ship Replicas,,,,99975,"Moved from [Products, Non-Film Specific-99966] Renamed from [Vehicles]",
,,,,Other Star Wars Collectibles,,,,154,"Moved from [Products, Non-Film Specific-99966]",
,,,Stargate SG-1,,,,,98035,,
,,,Thunderbirds,,,,,73560,,
,,,Twilight,,,,,168049,,
,,,"UFOs, Area 51, Roswell",,,,,99977,,
,,,X-Files,,,,,156,,
,,,Xena,,,,,14289,,
,,,Other Sci-Fi Collectibles,,,,,153,,
,+,Science & Medicine (1930-Now),,,,,,412,,
,+,Sewing (1930-Now),,,,,,113,,
,+,Souvenirs & Travel Memorabilia,,,,,,165800,,
,+,Tobacciana,,,,,,593,,
,+,"Tools, Hardware & Locks",,,,,,13849,,
,+,Transportation,,,,,,417,,
,+,"Vanity, Perfume & Shaving",,,,,,597,,
,+,"Vintage, Retro, Mid-Century",,,,,,69851,,
,+,Wholesale Lots,,,,,,45058,,
+,Computers/Tablets & Networking,,,,,,,58058,,
-,Consumer Electronics,,,,,,,293,,
,+,Surveillance & Smart Home Electronics,,,,,,185067,,
,+,Virtual Reality,,,,,,183067,,
,+,Portable Audio & Headphones,,,,,,15052,,
,+,"TV, Video & Home Audio",,,,,,32852,,
,+,Vehicle Electronics & GPS,,,,,,3270,,
,+,Home Telephones & Accessories,,,,,,3286,,
,+,Multipurpose Batteries & Power,,,,,,48446,,
,-,Radio Communication,,,,,,1500,,
,,+,Antennas,,,,,183502,,
,,,CB Radios,,,,,40054,,
,,,Commercial Radios,,,,,4669,Renamed from [Commcercial Radios],
,,+,"Ham, Amateur Radio",,,,,4670,,
,,,Marine & Aircraft Radios,,,,,149987,,
,,,Scanners,,,,,40979,,
,,,Shortwave Radios,,,,,15051,,
,,,"Walkie Talkies, Two-Way Radios",,,,,20381,,
,,+,Parts & Accessories,,,,,183503,,
,,,Other Radio Communication,,,,,296,,
,,Smart Glasses,,,,,,178894,,
,+,Vintage Electronics,,,,,,183077,,
,-,Wholesale Lots,,,,,,61494,This Category is being retired.,
,,,Batteries & Power Accessories,,,,,45096,All listings are being moved into [Other Multipurpose Batteries - 79846].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Home Surveillance & Automation,,,,,175746,All listings are being moved into [Other Surveillance Parts & Accessories - 175725].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Home Telephones,,,,,48748,All listings are being moved into [Corded Telephones - 41373].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,PDAs & Pocket PCs,,,,,61495,All listings are being moved into [PDAs - 38331].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Portable Audio & Headphones,,,,,175747,All listings are being moved into [Mixed Lots - 259701].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Radio Communication,,,,,175748,All listings are being moved into [Other Radio Communication - 296].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,"TV, Video & Home Audio",,,,,51000,"All listings are being moved into [Other TV, Video & Home Audio - 163829].","Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Vehicle Electronics & GPS,,,,,58036,All listings are being moved into [Other Vehicle Electronics - 1498].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Other Consumer Electronic Lots,,,,,51004,All listings are being moved into [Mixed Lots - 259701].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,Mixed Lots,,,,,,259701,New Category,
,,Other Consumer Electronics,,,,,,175837,,
+,Crafts,,,,,,,14339,,
+,Dolls & Bears,,,,,,,237,,
+,DVDs & Movies,,,,,,,11232,,
+,Entertainment Memorabilia,,,,,,,45100,,
+,Gift Cards & Coupons,,,,,,,172008,,
+,Health & Beauty,,,,,,,26395,,
-,Home & Garden,,,,,,,11700,,
,+,Bath,,,,,,26677,,
,-,Bedding,,,,,,20444,,
,,,Bed-in-a-Bag,,,,,20469,,
,,,Bed Pillows,,,,,20445,,
,,,Bed Skirts,,,,,20450,,
,,,Blankets & Throws,,,,,175750,,
,,,Canopies & Netting,,,,,48090,,
,,,Comforters & Sets,,,,,45462,,
,,,Decorative Bed Pillows,,,,,115630,,
,,,Duvet Covers & Sets,,,,,37644,,
,,,Mattress Pads & Feather Beds,,,,,175751,,
,,,Pillowcases,,,,,54257,New Category,
,,,Pillow Shams,,,,,43397,,
,,,"Quilts, Bedspreads & Coverlets",,,,,175749,,
,,,Sheets,,,,,20460,Renamed from [Sheets & Pillowcases],
,,,Other Bedding,,,,,25815,,
,-,Food & Beverages,,,,,,14308,,
,,+,Alcohol & Alcohol Mixers,,,,,179836,,
,,,Baking Chips,,,,,179190,All listings are being moved into [Cooking Chocolate & Cocoa - 257945].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Baking Chocolate,,,,,179191,All listings are being moved into [Cooking Chocolate & Cocoa - 257945].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Beer & Wine Making,,,,,38172,,
,,,Bread,,,,,62694,All listings are being moved into [Yeast & Baking Agents - 257944].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,"Buffalo, Beef & Turkey Jerky",,,,,115716,"All listings are being moved into [Jerky, Dried & Cured Meats - 258005].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,-,"Candy, Gum & Chocolate",,,,,38173,This Category is being retired.,
,,,,Candy Ingredients,,,,159891,All listings are being moved into [Extracts & Flavoring - 257947].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Chewing Gum,,,,99536,All listings are being moved into [Gums & Breath Mints - 258018].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
