June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,,Vernier Calipers,,,258091,New Category,
,,,,CMM Machines & Comparators,,,,25271,,
,,,,Gage Blocks & Spacers,,,,41934,Renamed from [Gauge Blocks],
,,,,Indicators,,,,58239,,
,,,,Inspection Gages,,,,58235,Renamed from [Inspection Gauges],
,,,,Magnetic Holders,,,,58240,,
,,,,Micrometers,,,,41938,,
,,,,Protractors,,,,58248,,
,,,,Rules,,,,58245,,
,,,,Squares,,,,58246,,
,,,,Surface Plates,,,,58247,,
,,,,Other Metalworking Inspection & Measurement,,,,12581,,
,,,"Metalworking Manuals, Books & Plans",,,,,258092,New Category,
,,,Metalworking Software,,,,,166671,Moved from [CNC & Metalworking Supplies-25257] Renamed from [Software],
,,-,Metalworking Supplies,,,,,258093,New Category,
,,,-,Abrasives,,,,58193,Moved from [CNC & Metalworking Supplies-25257],
,,,,-,Abrasive Brushes,,,258094,New Category,
,,,,,,Cup Brushes,,258095,New Category,
,,,,,,Disc Brushes,,258096,New Category,
,,,,,,End Brushes,,258097,New Category,
,,,,,,Radial Bristle Brushes,,258099,New Category,
,,,,,,Spiral & Tube Brushes,,258100,New Category,
,,,,,,Strip Brushes,,258101,New Category,
,,,,,,Wire Scratch Brushes,,258098,New Category,
,,,,,,Wire Wheel Brushes,,258103,New Category,
,,,,,Abrasive Stars,,,258145,New Category,
,,,,-,Abrasive Wheels,,,258104,New Category,
,,,,,,Angle & Die Grinder Wheels,,258105,New Category,
,,,,,,Bench & Pedestal Grinding Wheels,,258110,New Category,
,,,,,,Cup Grinding Wheels,,25264,Moved from [Abrasives-58193] Renamed from [Grinding Wheels],
,,,,,,Cut-Off & Chop Wheels,,58196,Moved from [Abrasives-58193] Renamed from [Cut-Off Wheels],
,,,,,,Deburring Wheels,,258106,New Category,
,,,,,,Flap Wheels,,258107,New Category,
,,,,,,Grinding Cones & Plugs,,258108,New Category,
,,,,,,Surface Grinding Wheels,,258111,New Category,
,,,,,Burrs,,,258113,New Category,
,,,,,Deburring Blades,,,258053,New Category,
,,,,,Deburring Tools,,,258054,New Category,
,,,,-,Manual Surface Conditioners,,,258116,New Category,
,,,,,,Sanding Blocks,,258117,New Category,
,,,,,,Sanding Pads,,258118,New Category,
,,,,,,Sanding Sheets,,258119,New Category,
,,,,,,Sanding Sponges,,258120,New Category,
,,,,,Mounted Points,,,258115,New Category,
,,,,-,Polishing & Buffing,,,258121,New Category,
,,,,,,Buffing Wheels,,258122,New Category,
,,,,,,Cross Buffs,,258123,New Category,
,,,,,,Felt Bobs,,258124,New Category,
,,,,,,Felt Wheels,,258125,New Category,
,,,,,,Finishing Compounds,,258126,New Category,
,,,,,,Flexible Cylinder Hones,,258127,New Category,
,,,,,,Polishing Bonnets,,258128,New Category,
,,,,,Sanding Belts,,,58194,Renamed from [Belts],
,,,,,Brushes,,,58195,All listings are being moved into [Other Metalworking Supplies - 258221].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Discs,,,58197,All listings are being moved into [Other Metalworking Supplies - 258221].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,-,Sanding Discs,,,258129,New Category,
,,,,,,Deburring Discs,,258131,New Category,
,,,,,,Disc Backup Pads,,258132,New Category,
,,,,,,Felt Discs,,258133,New Category,
,,,,,,Fiber Discs,,258134,New Category,
,,,,,,Flap Discs,,258135,New Category,
,,,,,,Hook-&-Loop Discs,,258136,New Category,
,,,,,,Overlap Discs,,258137,New Category,
,,,,,,PSA Discs,,258138,New Category,
,,,,,,Quick Change Discs,,258139,New Category,
,,,,-,Sanding Rolls,,,258140,New Category,
,,,,,,Abrasive Rolls,,258141,New Category,
,,,,,,Sanding Disc Rolls,,258142,New Category,
,,,,,,Sandpaper Sheet Rolls,,258143,New Category,
,,,,,,Spiral & Cartridge Rolls,,258144,New Category,
,,,,,Sharpening Stones,,,258146,New Category,
,,,,-,Tumblers & Media,,,258147,New Category,
,,,,,,Rotary Tumbler,,258148,New Category,
,,,,,,Tumbling Media,,258149,New Category,
,,,,,,Vibratory Tumbler,,258150,New Category,
,,,,,Other Abrasives,,,58198,,
,,,-,Broaches,,,,258151,New Category,
